Start_date;End_date;Country;ISO;Location;Latitude;Longitude;Magnitude_value;Magnitude_scale;Disaster_type;Disaster_subtype;Associated_disaster;Associated_disaster2;Total_deaths;Total_affected;Total_damage;Insured_losses;Disaster_name;Disaster_No
02/05/1994;02/05/1994;Bangladesh;BGD;St. Martins, Teknaf Upazila, Ukhia Upazila ( Near Cox's Bazar), Kutubdia Isl., Moheskhali Isl., Bandarban;;;220;Kph;Storm;Tropical cyclone;--;--;130;653559;125000;0;;1994-0044
/01/2007;/01/2007;Bangladesh;BGD;Panchagarh, Thakurgaon, Dinajpur, Nilphamari, Lalmonirhat, Gaibandha, Kurigram, Rangpur districts (Rangpur province), Joypurhat, Bogra, Sirajganj, Rajshahi, Pabna, Nawabganj districts (Rajshahi province), Mymensingh, Jamalpur, Kishoreganj, Sherpur, Gazipur, Shariatpur, Rajbari, Gopalganj districts (Dhaka), Jhalokati district (Barisal province), Khulna district (Khulna province), Brahamanbaria district (Chittagong province), Sylhet, Maulvibazar, Sunamganj districts (Sylhet province);;;5;°C;Extreme temperature ;Severe winter conditions;--;--;130;100000;0;0;;2007-0033
07/05/1991;07/05/1991;Bangladesh;BGD;Ghorasal, Tungi, Sirajganj;;;;Kph;Storm;Convective storm;--;--;121;300;0;0;;1991-0332
/01/1995;/01/1995;Bangladesh;BGD;Rajshahi, Rangpur, Pabna, Dinajpur;;;-4;°C;Extreme temperature ;Cold wave;--;--;120;0;0;0;;1995-0001
09/01/1998;09/01/1998;Bangladesh;BGD;Jessore, Rajshahi, Khulna;;;6.2;°C;Extreme temperature ;Cold wave;--;--;120;34000;0;0;;1998-0002
11/04/1968;11/04/1968;Bangladesh;BGD;Madaripur, Faridpur;;;;Kph;Storm;Tropical cyclone;--;--;118;16138;1500;0;;1968-0040
18/09/2006;05/10/2006;Bangladesh;BGD;Hatiya area (Noakhali district, Chittagong province), Bagerhat district (Khulna province), Patuakhali, Barguna districts (Barisal province);19.73;83.75;;Kph;Storm;Tropical cyclone;Flood;--;115;9135;0;0;;2006-0510
18/05/1997;18/05/1997;Bangladesh;BGD;Banshkali, Anowara (Chittagong district), Cox's Bazar, Teknaf, Chokoria, Moheshkali, Kutubdia (Cox's Bazar district);;;250;Kph;Storm;Tropical cyclone;--;--;111;3052738;0;0;One Bravo (01B);1997-0114
10/10/2012;10/10/2012;Bangladesh;BGD;Hatiya, Companiganj, Subarnarchar areas (Noakhali district, Chittagong province), Monpura, Charfasson areas (Bhola district, Barisal province), Sandwip, Mirsharai areas (Chittagong district, Chittagong province);;;;Kph;Storm;Convective storm;--;--;108;129558;0;0;;2012-0385
04/04/1986;04/04/1986;Bangladesh;BGD;Gopalganj, Piropjur districts (Mymensingh, Brahmanbaria, Netrokona);;;;Kph;Storm;Convective storm;--;--;100;13000;0;0;;1986-0050
/12/1989;/12/1989;Bangladesh;BGD;North;;;;°C;Extreme temperature ;Cold wave;--;--;100;0;0;0;;1989-0222
27/08/1997;27/08/1997;Bangladesh;BGD;Cox's Bazar (level 2) Level 1 = Chittagong;;;;Kph;Storm;--;--;--;100;0;0;0;;1997-0353
/12/2005;/01/2006;Bangladesh;BGD;Chittagong district (Chittagong province), Jessore district (Khulna province), Rajshahi, Pabna districts (Rajshahi province), Thakurgaon, Kurigram districts (Rangpur province);;;8;°C;Extreme temperature ;Severe winter conditions;--;--;100;1000;0;0;;2005-0701
/10/1963;/10/1963;Bangladesh;BGD;;;;;Kph;Storm;Tropical cyclone;--;--;79;0;0;0;;1963-0079
20/03/2005;23/03/2005;Bangladesh;BGD;Gaibandha, Rangpur districts (Rangpur province), Chandpur district (Chittagong province), Habiganj district (Sylhet province), Faridpur, Kishoreganj, Manikganj, Munshiganj districts (Dhaka province);;;100;Kph;Storm;Convective storm;Rain;Rain;79;11500;0;0;;2005-0130
14/04/2004;15/04/2004;Bangladesh;BGD;Mymensingh, Netrakona districts (Dhaka province);;;120;Kph;Storm;Convective storm;--;--;76;13000;0;0;;2004-0166
/12/2012;/02/2013;Bangladesh;BGD;Panchagarh, Thakurgaon, Dinajpur, Nilphamari, Lalmonirhat, Rangpur, Kurigram, Gaibandha districts (Rangpur province), Bogra, Joypurhat, Naogaon, Nawabganj, Rajshahi, Natore, Sirajganj, Pabna districts (Rajshahi province), Mymensingh, Faridpur, Madaripur districts (Dhaka province), Maulvibazar district (Sylhet province), Kushtia, Jessore districts (Khuna province);;;7.5;°C;Extreme temperature ;Cold wave;--;--;72;75000;0;0;;2012-0509
16/10/1985;16/10/1985;Bangladesh;BGD;;;;;Kph;Storm;--;--;--;71;1300;0;0;;1985-0123
15/04/1981;15/04/1981;Bangladesh;BGD;Noakhali district;;;;Kph;Storm;Convective storm;--;--;70;12000;0;0;;1981-0042
/01/1989;/01/1989;Bangladesh;BGD;;;;;°C;Extreme temperature ;Cold wave;--;--;70;0;0;0;;1989-0247
13/11/1983;13/11/1983;Bangladesh;BGD;Chittagong;;;;Kph;Storm;Tropical cyclone;--;--;67;0;0;0;;1983-0147
29/12/1990;29/12/1990;Bangladesh;BGD;;;;;°C;Extreme temperature ;Cold wave;--;--;67;0;0;0;;1990-0424
10/04/1999;10/04/1999;Bangladesh;BGD;Bhola, Barisal & Patuakhil districts, Level 1 = Barisal Div;;;106;Kph;Storm;--;--;--;66;100;0;0;;1999-0576
10/05/2003;12/06/2003;Bangladesh;BGD;Dhaka, Khulna, Rajshahi provinces;;;40;°C;Extreme temperature ;Heat wave;--;--;62;0;0;0;;2003-0250
27/07/1996;27/07/1996;Bangladesh;BGD;Bay Of Bengal;;;;Kph;Storm;--;--;--;60;0;0;0;;1996-0170
03/07/1998;03/07/1998;Bangladesh;BGD;Barisal;;;;Kph;Storm;--;--;--;60;0;0;0;;1998-0447
13/05/2016;15/05/2016;Bangladesh;BGD;Dhaka (Jatrabarhi’s Konaparha), Rajshahi (Mohanpur, Durgapur, Gogagarhi), Sirajgani (Raiganj, Ullaparha), Pabna (Sujanagar, Berha), Rajbari, Kishoreganj (Hossainpur, Tarhail, Bajitpur), Brahmanbarhia (Sarail, Banchharampur), Gazipur (Kapasia), Bogra (Sherpur), Natore (Lalpur), Habiganj (Baniachong), Naogaon (Atrai), Nilphamari (Kishoreganj);;;;Kph;Storm;Convective storm;Lightening;--;59;0;0;0;;2016-0154
22/04/1990;22/04/1990;Bangladesh;BGD;South East;;;;Kph;Storm;Convective storm;--;--;54;40200;0;0;;1990-0096
01/04/2015;07/04/2015;Bangladesh;BGD;Bogra, Rajshahi, Naogaon, Sirajganj, Pabna districts (Rajshahi province), Brahamanbaria district (Chittagong province), Dhaka districts (Dhaka province);;;;Kph;Storm;Convective storm;Hail;Rain;53;20200;4000;0;;2015-0118
02/05/1967;02/05/1967;Bangladesh;BGD;Dacca;;;;Kph;Storm;Tropical cyclone;--;--;50;200;0;0;;1967-0034
17/08/1979;17/08/1979;Bangladesh;BGD;South coast;;;;Kph;Storm;Tropical cyclone;--;--;50;0;0;0;;1979-0078
28/03/1985;28/03/1985;Bangladesh;BGD;Pabna district;;;150;Kph;Storm;Convective storm;--;--;50;20000;0;0;;1985-0048
01/01/1990;01/01/1990;Bangladesh;BGD;;;;;°C;Extreme temperature ;Cold wave;--;--;50;0;0;0;;1990-0706
09/01/1993;09/01/1993;Bangladesh;BGD;Sylhet;;;161;Kph;Storm;Tropical cyclone;--;--;50;2500;0;0;;1993-0240
12/04/1995;12/04/1995;Bangladesh;BGD;Chittagong, Madaripur, Munshiganj districts;;;160;Kph;Storm;Convective storm;--;--;50;51500;0;0;;1995-0051
01/07/1999;05/07/1999;Bangladesh;BGD;Bengal Gulf;;;;Kph;Storm;--;--;--;50;0;0;0;;1999-0738
07/01/2011;20/02/2011;Bangladesh;BGD;Barguna district (Barisal province), Nazirpur upazila (Pirojpur district, Barisal province), Gaibandha, Kurigram, Thakurgaon, Dinajpur districts (Rangpur province), Gabura city (Rangpur district, Rangpur province), Domar upazila (Nilphamari district, Rangpur province), Tetulia upazila (Panchagarh district, Rangpur province), Dakope upazila (Khulna district, Khulna province), Kushtia, Chuadanga districts (Khulna province), Kalaroa upazila (Satkhira district, Khulna province), Tarail upazila (Kishoreganj district, Dhaka province), Manikganj, Sherpur districts (Dhaka province), Sirajganj, Rajshahi districts (Rajshahi province), Ishwardi city (Pabna district, Rajshahi province);;;4.5;°C;Extreme temperature ;Cold wave;--;--;50;100000;0;0;;2011-0018
/01/2000;/01/2000;Bangladesh;BGD;Barisal, Chittagong, Dhaka, Khulna, Rajshahi, Rangpur, Sylhet provinces;;;6.4;°C;Extreme temperature ;Cold wave;--;--;49;0;0;0;;2000-0003
14/11/2002;14/11/2002;Bangladesh;BGD;Barguna district (Barisal province);;;85;Kph;Storm;Tropical cyclone;--;--;49;0;0;0;;2002-0705
10/04/1976;10/04/1976;Bangladesh;BGD;Faridpur district;;;;Kph;Storm;Convective storm;--;--;46;200;0;0;;1976-0034
29/07/2015;30/07/2015;Bangladesh;BGD;Cox's Bazar, Chittagong, Noakhali, Feni, Bandarban districts (Chittagong province), Patuakhali, Bhola, Barguna districts (Barisla province);;;;Kph;Storm;Tropical cyclone;Flood;--;45;2600000;40000;0;Cyclone 'Komen';2015-0309
/10/1967;/10/1967;Bangladesh;BGD;South, near Cox's Bazar;;;;Kph;Storm;Tropical cyclone;--;--;41;0;0;0;;1967-0062
15/05/2007;15/05/2007;Bangladesh;BGD;Cox's Bazar, Chittagong districts (Chittagong province);;;88;Kph;Storm;Tropical cyclone;--;--;41;225;0;0;;2007-0227
26/09/1986;26/09/1986;Bangladesh;BGD;Kuna, Bagerhat, Sathkhira, Pathuakhali, Barguna;;;;Kph;Storm;Tropical cyclone;--;--;40;2700000;0;0;;1986-0117
28/03/1994;28/03/1994;Bangladesh;BGD;Mymensingh, Chittagong (North-East and Southern Bangladesh);;;120;Kph;Storm;Tropical cyclone;--;--;40;150;2500;0;;1994-0087
27/05/2000;19/06/2000;Bangladesh;BGD;Dhaka, Mymensingh, Tangail, Kishoreganj districts (Dhaka province), Chittagong, Cox's Bazar, Comilla, Chandpur districts (Chittagong province);;;70;Kph;Storm;--;Flood;--;36;71000;0;0;;2000-0283
30/06/2005;30/06/2005;Bangladesh;BGD;Cox's Bazar district (Chittagong province);;;;Kph;Storm;--;--;--;35;0;0;0;;2005-0391
01/01/2018;10/01/2018;Bangladesh;BGD;;;;2.6;°C;Extreme temperature ;Cold wave;--;--;34;0;0;0;;2018-0018
21/01/1997;21/01/1997;Bangladesh;BGD;Dinajpur (level 2) Level 1 = Rajshahi;;;;°C;Extreme temperature ;Cold wave;--;--;33;0;0;0;;1997-0316
29/04/2018;30/04/2018;Bangladesh;BGD;;;;;Kph;Storm;Convective storm;--;--;33;0;0;0;;2018-0140
25/03/2002;25/03/2002;Bangladesh;BGD;Cox's Bazar district (Chittagong province);;;90;Kph;Storm;--;--;--;32;1000;0;0;;2002-0211
19/10/1988;19/10/1988;Bangladesh;BGD;Patuakhali, Cox's Bazar;;;;Kph;Storm;Tropical cyclone;--;--;31;0;0;0;;1988-0474
12/01/1993;12/01/1993;Bangladesh;BGD;Bogra, Noagaon, Sunamganj, Sylhet, Tangail, Jamalpur;;;;Kph;Storm;Convective storm;--;--;31;752000;0;0;;1993-0001
22/04/2002;22/04/2002;Bangladesh;BGD;Gaibandha, Lalmonirhat, Nilphamari, Rangpur, Kurigram districts (Rangpur province), Bogra, Sirajganj districts (Rajshahi province), Netrakona, Kishoreganj districts (Dhaka province);;;;Kph;Storm;Tropical cyclone;--;--;31;100400;0;0;;2002-0233
22/03/2013;22/03/2013;Bangladesh;BGD;Sadar, Akhaura, Bijoynagar areas (Brahamanbaria district, Chittagong province);;;;Kph;Storm;Convective storm;--;--;31;8543;20000;0;;2013-0085
05/05/1978;05/05/1978;Bangladesh;BGD;Jessore district;;;;Kph;Storm;--;--;--;30;100;0;0;;1978-0068
/02/1994;/02/1994;Bangladesh;BGD;North and Northwestern districts;;;;°C;Extreme temperature ;Cold wave;--;--;29;0;0;0;;1994-0612
23/05/1988;23/05/1988;Bangladesh;BGD;;;;;Kph;Storm;--;--;--;28;0;0;0;;1988-0220
23/03/1998;23/03/1998;Bangladesh;BGD;N.A. on the source;;;;Kph;Storm;--;--;--;28;100;0;0;;1998-0438
23/05/2000;23/05/2000;Bangladesh;BGD;Chittagong province;;;;Kph;Storm;--;--;--;28;0;0;0;;2000-0294
20/12/2003;20/12/2003;Bangladesh;BGD;Barguna district (Barisal province);;;;Kph;Storm;Tropical cyclone;--;--;28;0;0;0;;2003-0779
21/05/2016;21/05/2016;Bangladesh;BGD;"Barisal; Noakhali, Lakshmipur, Chandpur (Chittagong); Cox’s Bazar, Bhola, Barguna, Patuakhali";;;;Kph;Storm;Tropical cyclone;Flood;Slide (land, mud, snow, rock);28;1203555;600000;0;Cyclone Roanu;2016-0175
09/11/1986;09/11/1986;Bangladesh;BGD;Bengal Bay (South-West);;;;Kph;Storm;Tropical cyclone;--;--;25;100;0;0;;1986-0131
17/05/1993;17/05/1993;Bangladesh;BGD;Comilla area;;;100;Kph;Storm;--;--;--;25;7000;0;0;;1993-0160
06/04/2012;06/04/2012;Bangladesh;BGD;"Panchagarh, Rangpur, Nilphamari districts (Rangpur province), Noakhali, Comilla districts (Chittagong province), Narsingdi, Jamalpur, Faridpur, Shariatpur districts (Dhaka province), Jessore, Satkhira, Khulna, Chuadanga districts (Khulna province), Rajshahi district (Rajshahi province), Sylhet district (Sylhet province), 
Bhola district (Barisal province)";;;56;Kph;Storm;Convective storm;Hail;--;25;55121;0;0;;2012-0082
29/10/1996;29/10/1996;Bangladesh;BGD;Chittagong, Patuakhali, Pirojpur;;;65;Kph;Storm;Tropical cyclone;--;--;24;100;0;0;;1996-0351
31/03/2005;31/03/2005;Bangladesh;BGD;Manikganj district (Dhaka province), Natore, Sirajganj, Pabna districts (Rajshahi province);;;;Kph;Storm;Tropical cyclone;--;--;24;10500;0;0;;2005-0190
22/11/1997;22/11/1997;Bangladesh;BGD;Chittagong;22.212 N;92.702 E;5.9;Richter;Earthquake;Ground movement;--;--;23;200;0;0;;1997-0281
04/05/2003;04/05/2003;Bangladesh;BGD;Noabadi, Nayabadi, Merashani villages (Brahamanbaria district, Chittagong);;;120;Kph;Storm;Tropical cyclone;Hail;Slide (land, mud, snow, rock);23;400;0;0;;2003-0211
08/04/2006;08/04/2006;Bangladesh;BGD;Tangail district (Dhaka province), Sirajganj district (Rajshahi province);;;;Kph;Storm;Tropical cyclone;Flood;--;22;1500;0;0;;2006-0738
06/10/1977;06/10/1977;Bangladesh;BGD;;;;;Kph;Storm;Convective storm;--;--;21;500;0;0;;1977-0124
28/04/2001;28/04/2001;Bangladesh;BGD;Sirajganj, Pabna districts (Rajshahi province), Sylhet district (Sylhet province);;;80;Kph;Storm;--;--;--;21;600;0;0;;2001-0273
19/04/1994;19/04/1994;Bangladesh;BGD;Pirojpur, Barguna, Barisal, Patuakhali districts;;;;Kph;Storm;--;--;--;20;5200;0;0;;1994-0092
21/04/2000;21/04/2000;Bangladesh;BGD;Alpara, Netrokona Sadar, Kendua, Purbadhala areas (Netrakona district, Dhaka province), Rangpur district (Rangpur province);;;120;Kph;Storm;Tropical cyclone;--;--;20;62800;0;0;;2000-0211
/03/1986;/03/1986;Bangladesh;BGD;Dacca, Manikganj;;;;Kph;Storm;--;--;--;19;10000;0;0;;1986-0284
20/05/1998;20/05/1998;Bangladesh;BGD;Chittagong, Cox's Bazar, Sitakundu;;;150;Kph;Storm;Tropical cyclone;--;--;19;108944;0;0;01B;1998-0164
/06/1979;//1979;Bangladesh;BGD;Chittagong, Rangpur Mymenshingh region;;;;Km2;Drought;Drought;--;--;18;2000;0;0;;1979-9270
13/04/1970;13/04/1970;Bangladesh;BGD;;;;;Kph;Storm;--;--;--;17;110;0;0;;1970-0026
23/04/1996;23/04/1996;Bangladesh;BGD;Gowriganga River;;;;Kph;Storm;--;--;--;17;300;0;0;;1996-0350
16/05/2013;16/05/2013;Bangladesh;BGD;Patuakhali, Bhola, Barguna districts (Barisal province);;;;Kph;Storm;Tropical cyclone;--;--;17;1498644;0;0;Tropical cyclone Mahasen;2013-0138
22/04/1992;22/04/1992;Bangladesh;BGD;North;;;;Kph;Storm;--;--;--;16;100;0;0;;1992-0192
20/09/2005;20/09/2005;Bangladesh;BGD;Barisal, Chittagong, Khulna provinces;;;;Kph;Storm;--;--;--;16;12000;0;0;;2005-0537
27/04/2014;28/04/2014;Bangladesh;BGD;Sunamganj district (Sylhet province), Tangail, Netrakona districts (Dhaka province), Naogaon district (Rajshahi province);;;;Kph;Storm;Convective storm;--;--;16;4012;0;0;;2014-0135
06/03/1981;06/03/1981;Bangladesh;BGD;Comilla;;;;Kph;Storm;Tropical cyclone;--;--;15;25000;0;0;;1981-0274
26/05/1989;26/05/1989;Bangladesh;BGD;Manikganj, Tangail;;;;Kph;Storm;Tropical cyclone;--;--;15;2000;0;0;;1989-0249
09/05/1993;09/05/1993;Bangladesh;BGD;Naogaon, Dhaka;;;;Kph;Storm;--;--;--;15;70;0;0;;1993-0241
18/05/1994;18/05/1994;Bangladesh;BGD;North;;;100;Kph;Storm;--;--;--;15;100;0;0;;1994-0122
12/10/1997;12/10/1997;Bangladesh;BGD;Tongi Dis. -  1st level = Dhaka;;;75;Kph;Storm;Convective storm;--;--;15;500;0;0;;1997-0258
28/10/2000;28/10/2000;Bangladesh;BGD;Barisal, Barguna, Jhalokati, Bhola, Pirojpur districts (Barisal province), Khulna district (Khulna province), Noakhali, Lakshmipur, Cox's Bazar, Chandpur districts (Chittagong province), Dhaka, Mymensingh, Shariatpur districts (Dhaka province);;;100;Kph;Storm;Tropical cyclone;--;--;15;200;0;0;;2000-0713
27/10/2008;27/10/2008;Bangladesh;BGD;Barisal, Patuakhali districts (Barisal province);;;80;Kph;Storm;Tropical cyclone;Flood;--;15;200;0;0;"Cyclone ""Reshmi""";2008-0648
01/05/2010;02/05/2010;Bangladesh;BGD;Mymensingh district (Dhaka province);;;;Kph;Storm;Convective storm;Hail;--;15;50;0;0;;2010-0686
31/03/2019;31/03/2019;Bangladesh;BGD;Dhaka;;;;Kph;Storm;Convective storm;--;--;15;0;0;0;;2019-0144
13/05/1993;13/05/1993;Bangladesh;BGD;Begumgang, Thana Unions;;;160;Kph;Storm;Tropical cyclone;--;--;14;7500;0;0;;1993-0029
23/04/1998;23/04/1998;Bangladesh;BGD;Chittagong;;;100;Kph;Storm;--;--;--;14;200;0;0;;1998-0101
04/05/2019;04/05/2019;Bangladesh;BGD;Barguna, Kishoreganj,Noakhali, Laxmipur, Feni, Chandpur, Bhola, Patuakhali, Barishal, Pirozpur, Jhalokathi, Bagherhat, Khulna, Satkhira districts;;;200;Kph;Storm;Tropical cyclone;--;--;14;10045;0;0;Cyclone 'Fani';2019-0164
24/04/1977;24/04/1977;Bangladesh;BGD;Mymensingh district;;;;Kph;Storm;Tropical cyclone;--;--;13;100;0;0;;1977-0060
04/04/2011;04/04/2011;Bangladesh;BGD;Sherpur, Jamalpur, Netrakona, Mymensingh districts (Dhaka province), Rangpur, Thakurgaon, Gaibandha districts (Rangpur province), Pabna district (Rajshahi province);;;;Kph;Storm;Convective storm;Hail;--;13;121;0;0;;2011-0591
02/05/2015;03/05/2015;Bangladesh;BGD;Sunamganj district (Sylhet province), Jamalpur, Sherpur, Mymensingh districts (Dhaka province), Gaibandha, Dinajpur districts (Rangpur province), Bagerhat district (Khulna province);;;;Kph;Storm;Convective storm;--;--;13;0;0;0;;2015-0213
26/04/1983;26/04/1983;Bangladesh;BGD;Kulna;;;;Kph;Storm;Convective storm;--;--;12;200;0;0;;1983-0072
04/06/1987;04/06/1987;Bangladesh;BGD;Hatiya, Swandwip, Patuakhali, Bhola regions;;;;Kph;Storm;Tropical cyclone;--;--;12;0;0;0;;1987-0110
11/05/2001;11/05/2001;Bangladesh;BGD;Mymensingh, Netrakona, Tangail, Gopalganj districts (Dhaka province), Naogaon district (Rajshahi province), Maulvibazar district (Sylhet province), Chuadanga, Jhenaidah, Meherpur districts (Khulna province), Gaibandha district (Rangpur province), Patuakhali district (Barisal province), Noakhali district (Chittagong province);;;100;Kph;Storm;Tropical cyclone;--;--;12;200;0;0;;2001-0198
05/10/2001;05/10/2001;Bangladesh;BGD;Lalmonirhat, Nilphamari, Gaibandha, Rangpur districts (Rangpur province);;;150;Kph;Storm;Convective storm;--;--;12;25450;0;0;;2001-0563
22/03/2008;22/03/2008;Bangladesh;BGD;Jamalpur, Mymensingh, Netrakona, Sherpur districts (Dhaka province), Bogra district (Rajshahi province), Gaibandha, Kurigram districts (Rangpur province), Sunamganj, Sylhet provinces (Sylhet province);;;100;Kph;Storm;Tropical cyclone;--;--;12;200;0;0;;2008-0644
13/12/2011;18/12/2011;Bangladesh;BGD;Barisal, Chittagong, Khulna, Rangpur provinces;;;9;°C;Extreme temperature ;Cold wave;--;--;12;2000;0;0;;2011-0525
01/05/2017;01/05/2017;Bangladesh;BGD;Rajshani, Chapainawabganj (Nawabganj), Dorgapara (Rajshahi);;;;Kph;Storm;Convective storm;--;--;12;0;0;0;;2017-0139
/04/1980;/04/1980;Bangladesh;BGD;;;;;Kph;Storm;Tropical cyclone;--;--;11;1050;0;0;;1980-0038
23/03/1997;23/03/1997;Bangladesh;BGD;Bay Of Bengal  Level 1 = Chittagong;;;;Kph;Storm;--;--;--;11;101;0;0;;1997-0321
06/05/2005;06/05/2005;Bangladesh;BGD;Rangpur, Dinadjpur districts (Rangpur province);;;;Kph;Storm;--;--;--;11;1500;0;0;;2005-0282
14/07/2002;14/07/2002;Bangladesh;BGD;Rajshahi district (Rajshahi province);;;;Kph;Storm;--;--;--;10;0;0;0;;2002-0425
13/05/2004;13/05/2004;Bangladesh;BGD;Sylhet province;;;;Kph;Storm;Convective storm;--;--;10;4050;0;0;;2004-0678
21/05/2005;22/05/2005;Bangladesh;BGD;Lakshmipur, Cox's Bazar districts (Chittagong province), Rajbari district (Dhaka province);;;;Kph;Storm;--;--;--;10;6;0;0;;2005-0259
07/05/1993;07/05/1993;Bangladesh;BGD;North Dhaka;;;56;Kph;Storm;--;--;--;9;3250;0;0;;1993-0154
16/04/2003;16/04/2003;Bangladesh;BGD;Dhaka province;;;100;Kph;Storm;--;--;--;9;20;0;0;;2003-0190
05/04/2006;06/04/2006;Bangladesh;BGD;Dhaka province;;;;Kph;Storm;Tropical cyclone;--;--;9;1465;0;0;;2006-0737
19/02/1993;19/02/1993;Bangladesh;BGD;North-East;;;;Kph;Storm;--;--;--;8;70500;0;0;;1993-0120
13/04/2010;14/04/2010;Bangladesh;BGD;Rangpur, Dinajpur, Nilphamari, Lalmonirhat, Kurigram, Gaibandha districts (Rangpur province), Sirajganj, Bogra districts (Rajshahi province);;;120;Kph;Storm;Tropical cyclone;--;--;8;247110;0;0;;2010-0171
31/01/1992;01/02/1992;Bangladesh;BGD;;;;;Kph;Storm;--;--;--;7;10200;0;0;;1992-0175
07/04/1999;08/04/1999;Bangladesh;BGD;Parbatipur;;;;Kph;Storm;--;Flood;--;7;200;0;0;;1999-0105
19/04/2009;20/04/2009;Bangladesh;BGD;Banshkhali, Anowara, Sitakunda, Mirsaharai, Sandwip, Patiya, Boalkhali, Satkania, Chandanaish, City Corportaion of Chittagong (CCC) areas (Chittagong district, Chittagong province), Sadar, Ramu, Chakaria, Pekua, Maheshkhali, Kutubdia areas (Cox's Bazar district, Chittagong province), Hatiya area (Noakhali district, Chittagong province), Charfashion area (Bhola district, Barisal province), Pirganj area (Thakurgao district, Rangpur province);;;100;Kph;Storm;Tropical cyclone;--;--;7;19209;0;0;"Cyclone ""Bijli""";2009-0157
30/05/2017;30/05/2017;Bangladesh;BGD;"Swandip, Anwara, Lohogara, Bashkhali, Sitakunda, Mirsarai, Chandanaish, Karnaphuli Thana (Chittagong district); Cohokoria, Teknaf, Moheshkhali, Kutubdia, Pekua, Ramu, Ukhiya, Shah Parir Dwip, Saint Martin’s island (Cox's Bazar district); Rangamati district (All upazillas); Nikonchori (Bandarban district); Bhola district. Khagrachhari, Feni, Noakhali districts";;;135;Kph;Storm;Tropical cyclone;--;--;7;3300012;0;0;Cyclone Mora;2017-0152
07/05/1923;07/05/1923;Bangladesh;BGD;Cox's Bazar, Chittagong;;;;Kph;Storm;Tropical cyclone;--;--;6;25000;0;0;;1923-0003
21/03/1983;21/03/1983;Bangladesh;BGD;South;;;;Kph;Storm;Tropical cyclone;--;--;6;150;0;0;;1983-0056
12/04/1995;12/04/1995;Bangladesh;BGD;Chittagong;;;160;Kph;Storm;Convective storm;--;--;6;2070;0;0;;1995-0067
22/07/1999;22/07/1999;Bangladesh;BGD;Maheshkhali Isl. Level 1 = Chittagong Div;21.544;91.895;5.2;Richter;Earthquake;Ground movement;--;--;6;15200;0;0;;1999-0228
/12/2001;/12/2001;Bangladesh;BGD;Panchagarh, Thakurgaon, Dinajpur, Nilphamari districts (Rangpur province), Satkhira, Jessore districts (Khulna province), Sylhet, Sunamganj districts (Sylhet province);;;7;°C;Extreme temperature ;Cold wave;--;--;6;2000;0;0;;2001-0734
23/05/2015;23/05/2015;Bangladesh;BGD;Dinajpur;;;;Kph;Storm;Convective storm;--;--;6;40050;0;0;;2015-0601
13/06/1988;13/06/1988;Bangladesh;BGD;Kushia district;;;;Kph;Storm;--;--;--;5;5200;0;0;;1988-0264
03/01/2016;03/01/2016;Bangladesh;BGD;Dhaka, Jamalpur districts (Dhaka province), Rajshahi district (Rajshahi province), Lalmonirhat, Panchagarh districts (Rangpur province);24.804;93.65;6.7;Richter;Earthquake;Ground movement;--;--;5;70;0;0;;2016-0002
04/03/2006;04/03/2006;Bangladesh;BGD;Bagerhat, Khulna districts (Khulna province);;;150;Kph;Storm;Convective storm;--;--;4;5899;0;0;;2006-0146
22/04/2006;24/04/2006;Bangladesh;BGD;Rajshahi, Khulna provinces;;;;Kph;Storm;--;Hail;--;4;150;0;0;;2006-0739
11/06/2014;11/06/2014;Bangladesh;BGD;Faridpur district (Dhaka province);;;;Kph;Storm;Convective storm;--;--;4;1250;0;0;;2014-0244
25/04/2015;25/04/2015;Bangladesh;BGD;Savar area (Dhaka district, Dhaka province), Narayanganj, Gazipur, Gopalganj districts (Dhaka province), Sunamganj district (Sylhet province), Comilla, Feni districts (Chittagong province), Habiganj district (Sylhet province), Gangachara area (Rangpur district, Rangpur province), Gaibandha district (Rangpur province), Rajshahi, Naogaon, Bogra, Pabna districts (Rajshahi province);28.231;84.73;7.8;Richter;Earthquake;Ground movement;--;--;4;200;0;0;;2015-0144
02/05/1979;02/05/1979;Bangladesh;BGD;Eastern;;;;Kph;Storm;Tropical cyclone;--;--;3;150;0;0;;1979-0048
30/04/1999;30/04/1999;Bangladesh;BGD;Kurigram (Rangpur);;;120;Kph;Storm;Convective storm;--;--;3;1150;0;0;;1999-0189
17/04/2010;17/04/2010;Bangladesh;BGD;Lalmonirhat district (Rangpur province);;;;Kph;Storm;Tropical cyclone;--;--;3;10000;0;0;;2010-0205
06/02/1988;06/02/1988;Bangladesh;BGD;Syhlet;24.688;991.57;5.8;Richter;Earthquake;Ground movement;--;--;2;100;0;0;;1988-0079
26/03/1999;26/03/1999;Bangladesh;BGD;Panchagarh district, Level 1 = Rajshahi Div;;;;Kph;Storm;Convective storm;--;--;2;100060;0;0;;1999-0115
26/07/2003;26/07/2003;Bangladesh;BGD;Chittagong, Cox's Bazar, Rangamati districts (Chittagong province);22.854;92.306;5.7;Richter;Earthquake;Ground movement;Slide (land, mud, snow, rock);--;2;2525;0;0;;2003-0452
26/12/2004;26/12/2004;Bangladesh;BGD;Barisal, Chittagong, Khulna provinces;3.295;95.982;9.1;Richter;Earthquake;Tsunami;--;--;2;0;500000;0;;2004-0659
